Submitted by CCM,VID,Vessel Name,Flag,Registration Number,WIN,Previous Names,Reg Port,Owner Name,Owner Address,Master Name,Master Nationality,Previous Flags,IRCS,Communication Details,Built in Country,Built in Year,Vessel Type,Crew,Fishing Methods,Length,Length Type,Length Units,Moulded Depth,Moulded Depth Units,Beam,Beam Units,Tonnage,Tonnage Type,Engine Power,Power Units,Freezer Types,Freezing Capacity,Freezing Capacity Units,Number of Freezers,FishHold Capacity,FishHold Cap Units,Auth Type,Auth Number,Auth Area,Auth Species,Auth Period From,Auth Period To,Purse seine vessel authorised to tranship at sea,IMO-LR,Authorisation to tranship on the high seas,Under Charter,Charterer Name,Chartering CCM,Address of Charter,Charter Start Date,Charter End Date
Korea (Republic of),2211,NO.372 OYANG,Korea (Republic of),9604001-6260004,DTAE9,NONE,Busan,OYANG CORPORATION,"2159, Namboosoonhwan-ro, Seocho-gu, Seoul, Korea","DEOK CHAN, KANG",Korea (Republic of),NONE,DTAE9,Inmarsat FB: 773-110-580,Korea (Republic of),1990,Tuna longliner,25,Drifting longlines,46.91,OVERALL,Meters,3.75,Meters,8.7,Meters,383,GT,1200,HP,OTHER : [AIR COIL],10,mt/day,4,559,MT,DISTANT WATER FISHING LICENSE,May-16,NO SPECIFIC AREA,NO SPECIFIC SPECIES,12-Apr-16,11-Apr-21,Not applicable,8920907,YES,NO,,,,,
Korea (Republic of),10844,SAJO POSEDONIA,Korea (Republic of),1311001-6261404,6KCC5,NONE,Busan,OYANG CORPORATION,"107-39, Tongil-Ro, Seodaemun-gu, Seoul, KOREA","Ha Myong, CHIN",Korea (Republic of),NONE,6KCC5,Voice inmarsat mobile : 870773307870 : Inmarsat FB,Korea (Republic of),2013,Tuna purse seiner,29,One boat operated purse seines,79.56,Overall,Meters,8.45,Meters,14.5,Meters,"1,016.00",GT,4500,HP,BRINE,408,MT/day,8,1806,CuM,Distant water fishing license,May-18,No specific areas,Tuna and Tuna-like species,11-Dec-18,10-Dec-23,No,9683623,No,NO,,,,,
United States of America,4382,VUI VUI,United States of America,930207,WDJ3471,VUI VUI,Honolulu,"P & H ENTERPRISES, LTD","1333 WANAKA ST, HONOLULU, HI 96818-1135, USA","PHAM, LAM",United States of America,NONE KNOWN,WDJ3471,SATELLITE TELEPHONE (OTHER THAN INMARSAT): 881632523841,United States of America,1988,Tuna longliner,6,Drifting longlines,75,REGISTERED,Feet,10,Feet,23,Feet,151,GRT,600,HP,Ice,2.5,tons/day,1,15,MT,High seas fishing permit with a WCPFC area endorsement,P0000000046528,High Seas in the WCPF Convention Area,Highly Migratory Species,17-Aug-17,17-Aug-22,Not Applicable,8817875,YES,NO,,,,,
United States of America,4383,VUI VUI II,United States of America,914121,WDJ6947,TOURANE;VUI VUI II,Honolulu,"P & H ENTERPRISES, LTD","1333 WANAKA ST, HONOLULU, HI 96818-1135, USA","PHAM, HAU",United States of America,NONE KNOWN,WDJ6947,SATELLITE TELEPHONE (OTHER THAN INMARSAT): 881641486408,United States of America,1987,Tuna longliner,6,Drifting longlines,79.5,REGISTERED,Feet,10.5,Feet,24,Feet,174,GRT,600,HP,Ice,2.5,tons/day,1,15,MT,High seas fishing permit with a WCPFC area endorsement,P0000000046450,High Seas in the WCPF Convention Area,Highly Migratory Species,14-Aug-17,14-Aug-22,Not Applicable,8941937,YES,NO,,,,,
Australia,5083,SAMURAI,Australia,O842,O842,NONE KNOWN,Cairns,P&M WILLIAMS ENTERPRISES(NQ)P/L,PO BOX 6373 MAROOCHYDORE B C QLD 4558 Australia,Nick Williams ,Australia,NONE,VJQ4940,INMARSAT C: 450302318,Australia,1995,Longliner,3,Drifting longlines,19.8,Overall,Meters,1.8,Meters,6.1,Meters,28,GRT,425,KW,BLAST,16,CM,1,24,CuM,Eastern Tuna & Billfish Fishery,NONE,No specific areas,All HMS except black and blue marlin,01-Mar-16,31-Dec-20,NOT APPLICABLE,,NO,NO,,,,,
United States of America,11515,DESTINY,United States of America,1031845,WDJ3184,DESTINY,Honolulu,PAC RIM LEASING LLC,"6491 WEATHERS PL STE B, SAN DIEGO, CA 92121-2935, USA","DYE, CHARLES",United States of America,NONE KNOWN,WDJ3184,NONE,United States of America,1995,Tuna longliner,6,Drifting longlines,71,REGISTERED,Feet,11.5,Feet,23.5,Feet,128,GRT,615,HP,Ice,6,tons/day,2,16,MT,High seas fishing permit with a WCPFC area endorsement,P0000000043950,High Seas in the WCPF Convention Area,Highly Migratory Species,06-Jan-17,05-Jan-22,Not Applicable,8948600,YES,NO,,,,,
United States of America,3957,KAWAIOLA,United States of America,533411,WDH8904,MISS CONCEPTION;DEBBIE SUE;KAWAIOLA,Honolulu,PAC RIM LEASING LLC,"6491 WEATHERS PL STE B, SAN DIEGO, CA 92121-2935, USA","PORCELLI, FRANK",United States of America,NONE KNOWN,WDH8904,"SATELLITE TELEPHONE (OTHER THAN INMARSAT): 881631547447: FLEETBROADBAND 500, 250 AND 150",United States of America,1971,Tuna longliner,8,Drifting longlines,68.6,REGISTERED,Feet,11.9,Feet,22.1,Feet,124,GRT,450,HP,Ice,3.5,tons/day,1,54,MT,High seas fishing permit with a WCPFC area endorsement,P0000000037814,High Seas in the WCPF Convention Area,Highly Migratory Species,21-Apr-15,20-Apr-20,Not Applicable,7223845,YES,NO,,,,,
United States of America,4199,SEA HUNT,United States of America,1046666,WDJ2875,MASTER RICKY II;SEA HUNT,Honolulu,PAC RIM LEASING LLC,"6491 WEATHERS PL STE B, SAN DIEGO, CA 92121-2935, USA","RALSTON, JOEL;HULSE, MICHAEL",United States of America,NONE KNOWN,WDJ2875,SATELLITE TELEPHONE (OTHER THAN INMARSAT): MSAT #1665,United States of America,1996,Tuna longliner,5,Drifting longlines,77.7,REGISTERED,Feet,12.5,Feet,24,Feet,134,GRT,671,HP,Ice,3,tons/day,1,4025,CuM,High seas fishing permit with a WCPFC area endorsement,P0000000043611,High Seas in the WCPF Convention Area,Highly Migratory Species,07-Dec-16,06-Dec-21,Not Applicable,8940220,YES,NO,,,,,
United States of America,8781,RAFFAELLO,United States of America,539046,WDJ4712,RAFFAELLO,Las Vegas,PACIFIC COAST RAFAELLO LLC,"402 W BROADWAY STE 1800, SAN DIEGO, CA 92101-8514, USA","PERIC, YANKO",United States of America,NI,WDJ4712,SATELLITE TELEPHONE (OTHER THAN INMARSAT): 881651435291,United States of America,1972,Tuna purse seiner,23,With purse lines (purse seine),174.2,Registered,Feet,19.5,Feet,40,Feet,"1,097.00",GT,3600,HP,Brine,50,tons,6,1040,CuM,High seas fishing permit with a WCPFC area endorsement,P0000000047572,High Seas in the WCPF Convention Area,Highly Migratory Species,18-Nov-17,17-Nov-22,No,7212377,No,NO,,,,,
United States of America,4267,PACIFIC HORIZON,United States of America,627203,WDD4529,VIRGINIAN;SUE;PACIFIC HORIZON,San Diego,PACIFIC HORIZON FISHING LLC,"3830 CADDEN WAY, SAN DIEGO, CA 92117-4412, USA","GIBBS, JOHN;TAIA, DANIEL",United States of America,NONE KNOWN,WDI3854,NONE,United States of America,1980,Tuna longliner,6,"Drifting longlines, Harpoons, Trolling lines",73.6,REGISTERED,Feet,10.3,Feet,22,Feet,147,GRT,520,HP,Plate;Brine;Blast;Plate,3;5;7.5;8,tons/day;tons;tons;tons/day,1;2;3;12,64,MT,High seas fishing permit with a WCPFC area endorsement,P0000000039049,High Seas in the WCPF Convention Area,Highly Migratory Species,17-Sep-15,15-Sep-20,Not Applicable,8133023,YES,NO,,,,,
Panama,9320,ISLAND REEFER,Panama,47926-16,HOFG,SEIN OCEAN,Panama,PACIFIC ISLAND REEFER CORP.,"Williamson Place, Bldg, 0764-F, La Boca, Balboa, City of Panama, the Republic of Panama",BAE GWANG RYONG,Korea (Republic of),KOREA,HOFG,CLS TID: 511358,Japan,1983,FISH CARRIER,20,,110.72,Overall,Meters,9.45,Meters,16.4,Meters,"4,071.00",GRT,4777,KW,,,,,2436,CuM,SUPPORT VESSEL,02-98-1071-103-726,WCPO,"TUNA, TUNA LIKE",02-Jul-19,02-Jul-20,Not specified,8312461,,NO,,,,,
United States of America,4197,KAMI M,United States of America,690307,WDD5030,KAMI M,Friday Harbor,PACIFIC JENNINGS INC.,"1004 COMMERCIAL AVE #463, ANACORTES, WA 98221, USA","JENNINGS, PACIFIC;HONINGS, KRIS",United States of America,NONE KNOWN,WDD5030,SATELLITE TELEPHONE (OTHER THAN INMARSAT): 870773160652,United States of America,1985,Tuna longliner,5,"Drifting longlines, Trolling lines",73.2,REGISTERED,Feet,10.9,Feet,26.1,Feet,161,GRT,1000,HP,Blast,20,tons,2,64,MT,High seas fishing permit with a WCPFC area endorsement,690307,High Seas in the WCPF Convention Area,Highly Migratory Species,09-Aug-18,09-Aug-23,Not Applicable,8854495,YES,NO,,,,,
Cook Islands,9385,HAI SOON 12,Cook Islands,2272,E5U3120,HOSEI MARU,Avatiu,Pacific Marine PTE LTD,"6001 Beach Road 17-05/06 Golden Mile Tower, Singapore 199589",Win Aung Htun,Myanmar,"JAPAN, KIRIBATI",E5U3120,Inmarsat 451800782,Japan,1993,BUNKER,20,,101.73,Overall,Meters,7.7,Meters,14.6,Meters,"3,243.00",GRT,2942,KW,,,,,,, High Seas , CK18008-B-HS,"CK EEZ, WCPO, SPRFMO, INDIAN Ocean",,01-Jan-18,31-Dec-20,NOT APPLICABLE,9078751,NO,NO,,,,,
United States of America,4269,PACIFIC PRINCESS,United States of America,600678,WDC3424,PACIFIC PRINCESS,Las Vegas,PACIFIC PRINCESS PARTNERSHIP LTD,"C/O 4102 AVATI DR., SAN DIEGO, CA 92117, USA","CANEPA, ALFRED;DE GROCA, ANTHONY",United States of America,NONE KNOWN,WDC3424,SATELLITE TELEPHONE (OTHER THAN INMARSAT): 881641451129,United States of America,1978,Tuna purse seiner,21,With purse lines (purse seine),258.5,REGISTERED,Feet,20.1,Feet,40.2,Feet,"2,110.00",GT,3600,HP,Brine;RSW,300;575,tons;tons,2;6,1588,MT,High seas fishing permit with a WCPFC area endorsement,600678,High Seas in the WCPF Convention Area,Highly Migratory Species,20-May-16,20-May-21,No,7806271,No,NO,,,,,
Philippines,11412,DOLORES 869,Philippines,10-0003090,DUHQ,NONE,General Santos,"PACIFIC SEAS TUNA VENTURES, INC.","1st ROAD, CALUMPANG, GENERAL SANTOS CITY",ARTURO A. BAO,Philippines,NONE,DUHQ,"FARIA WATCHDOG GWD013-005-082415
",Chinese Taipei,2015,Tuna purse seiner,37,One boat operated purse seines,71.79,Overall,Meters,7.2,Meters,12.2,Meters,"1,100.00",GT,2684,KW,BRINE/DRY,400/DAY,MT,BRINE:12 / DRY:4,970,MT,INTERNATIONAL FISHING PERMIT,MPRS-01943-IFP-12-17,No specific areas,TUNA AND TUNA-LIKE SPECIES,15-Feb-17,14-Feb-20,NO,9798064,NO,NO,,,,,
United States of America,5620,PACIFIC STAR,United States of America,970935,WDI6188,PETER I;BLUE DECEMBER;PACIFIC STAR,Honolulu,PACIFIC STAR VESSEL LLC,"2349 KULA KOLEA DR, HONOLULU, HI 96819-2823, USA","NGUYEN, XUAN",United States of America,NONE KNOWN,WDI6188,SATELLITE TELEPHONE (OTHER THAN INMARSAT): 881631532920,United States of America,1990,Tuna longliner,6,Drifting longlines,82.3,REGISTERED,Feet,10.9,Feet,24.5,Feet,119,GRT,670,HP,Ice,3,tons/day,1,23,MT,High seas fishing permit with a WCPFC area endorsement,P0000000039075,High Seas in the WCPF Convention Area,Highly Migratory Species,25-Sep-15,24-Sep-20,Not Applicable,8856194,YES,NO,,,,,
Panama,10006,HAI FENG 648,Panama,17668-88-G,3EHA6,KAI FU,Panama,PACIFIC VENTURE DEVELOPMENT LIMITED,"Units502, 5/F., Hang Seng North Point Building, 341 Kingâ€™s Road, North Point, Hong Kong",WANG WEI,China,NONE KNOWN,3EHA6,TEL: 00870-773210596,Japan,1998,FISH CARRIER,25,,117.31,OVERALL,Meters,9.85,Meters,17.8,Meters,"4,939.00",GRT,6300,PS,,,,,7746,CuM,not authorized to fish on the high seas,02-98-992-085-653,WCPFC,Tuna tuna like,19-Apr-18,19-Apr-20,NO,8710132,YES,NO,,,,,
Panama,11885,HAI GONG YOU 309,Panama,48024-16,3ERA8,FURENAS,Panama,PACIFIC VENTURE DEVELOPMENT LIMITED,"UNIT 502, 5/F., HANG SENG NORTH POINT BUILDING, 341 KING'S
ROAD, NORTH POINT, HONG KONG",YANG QIONG,China,NONE KNOWN,3ERA8,INMARSAT: 437300268,Norway,1997,BUNKER,17,,128.86,Overall,Meters,10.5,Meters,21.5,Meters,"8,930.00",GRT,5280,KW,,,,,,,SUPPORT FISHING VESSEL,02-97-1072-096-679,WCPO,TUNA AND TUNA LIKE,13-May-19,13-May-20,Not specified,9153214,NO,NO,,,,,
United States of America,10545,JUDIBANA,United States of America,554146,WDJ4752,NAZARE MARY;JUDIBANA,Las Vegas,"PACIFIC WEST JUDIBANA, LLC","402 W BROADWAY STE 1800, SAN DIEGO, CA 92101-8514, USA","ROJAS, MARK",United States of America,VE,WDJ4752,VOICE INMARSAT MOBILE: 870773801883: INMARSAT: B;SATELLITE TELEPHONE (OTHER THAN INMARSAT): 881632623946,United States of America,1974,Tuna purse seiner,25,With purse lines (purse seine),181.9,REGISTERED,Feet,18.3,Feet,40,Feet,"1,299.00",GT,3600,HP,Brine,60,tons,5,910,MT,High seas fishing permit with a WCPFC area endorsement,P0000000050249,High Seas in the WCPF Convention Area,Highly Migratory Species,22-May-18,21-May-23,No,7334280,No,NO,,,,,
Panama,10639,PS REEFER,Panama,47238-15,3FRQ5,PS REEFER,Panama,"PACSUN SHIPPING, S.A","VIA ESPAÃ‘A 122, DELTA TOWER FLOOR, 14 CITY OF PANAMA, REPUBLIC 
OF PANAMA.",LEE HYUNG HO,Korea (Democratic Republic of),KIRIBATI,3FRQ5,CLS TID: 507999,Japan,1982,FISH CARRIER,18,,79.77,Overall,Meters,7.85,Meters,13.2,Meters,"2,047.00",GRT,2206,KW,,,,,2854,CuM,SUPPORT FISHING VESSEL,02-98-584-024-786,WCPO,"TUNA, TUNA LIKE",02-Oct-15,02-Oct-20,Not specified,8221947,YES,NO,,,,,
Tonga,4073,PACIFIC SUNRISE,Tonga,LFV067,A3BX4,NONE,Nuku'alofa,"Palu, Eddie & Rosemary","Atlantis Fisheries Pty Ltd,
PO Box 2460, Nuku'alofa,
KINGDOM OF TONGA","Palu, Eddie; Taumoepeau, Sione",Tonga,AUSTRALIA,A3BX4,Inmarsat C,Australia,2003,Tuna longliner,8,Drifting longlines,22,Overall,Meters,2.2,Meters,6.15,Meters,80,GRT,575,HP,Ice,4,mt,2,4,MT,Local Fishing License,LL047NK14,TO_EEZ,TUNA and Tuna-like species,27-Jun-17,22-Jun-18,NOT APPLICABLE,,NO,NO,,,,,
Marshall Islands,9321,LOJET,Marshall Islands,60015,V7RB4,"MEN CREN, MAJURO 1",Jaluit Island,Pan Pacific Fishing (RMI) Inc.,"Delap Village, P.O. Box 1289, Majuro, MH 96960
",Cheng Guanming,China,France,V7RB4,"Inmarsat F:  870 7731 21773
",Spain,1992,Purse seiner,32,"One boat operated purse seines, With purse lines (purse seine)",70.66,Overall,Meters,8.9,Meters,13.5,Meters,"2,109.00",GRT,3645,KW,Brine Chiller,200,MT,18,1939,CuM,Registration Certificate  - Permanent,5-09-FV,WCPO,Tuna,06-May-19,30-Jun-20,NO,8919441,NO,NO,,,,,
Marshall Islands,9865,LOMALO,Marshall Islands,60019,V7UB4,NA,Jaluit Island,Pan Pacific Fishing (RMI) INC.,"Delap Village, P.O. Box 1289, Majuro, Republic of Marshall Islands MH 96960",Wang Guolai,China,na,V7UB4,Inmarsat F: 870 773122244,China,2010,Purse seiner,32,"One boat operated purse seines, With purse lines (purse seine)",71.79,Overall,Meters,7.2,Meters,12.2,Meters,"1,344.00",GRT,2353,KW,Brine,200,MT,5,900,MT,Provisional Certificate of Registry,2-11-FV,WCPFC Convention Area,Highly migratory fish and tuna like species,06-May-19,30-Jun-20,NO,9588665,NO,NO,,,,,
Marshall Islands,9825,LOMETO,Marshall Islands,60016,V7TQ8,NA,Jaluit Island,Pan Pacific Fishing (RMI) INC.,"Delap Village, P.O. Box 1289, Majuro, Republic of Marshall Islands MH 96960",Yang Jianfu,China,na,V7TQ8,Inmarsat F: 870 773122801,China,2010,Purse seiner,32,"One boat operated purse seines, With purse lines (purse seine)",71.79,Overall,Meters,7.2,Meters,12.2,Meters,"1,344.00",GRT,2353,KW,Brine,200,MT,5,900,MT,Provisional Certificate of Registry,5-11-FV,WCPFC Convention Area,Tuna or tuna like species,06-May-19,30-Jun-20,NO,9583419,NO,NO,,,,,
Marshall Islands,11745,JABBUK,Marshall Islands,60020,V7A2096,NA,Jaluit Island,Pan Pacific Fishing(RMI) Inc.,"Delap Village 
P.O. Box 1289 Majuro, Republic of the Marshall Islands 96960",Chen Dunbing,China,NA,V7A2096,InmarsatF 870773121123,China,2018,Purse seiner,38,One boat operated purse seines,66.57,Registered,Meters,7.7,Meters,13.6,Meters,"1,789.00",GRT,2648,KW,Brine,200,MT,5,1905,CuM,Registration Certificate - provisional ,4-18-FV,WCPFC Convention Area,Tuna and Tuna like Species,06-May-19,30-Jun-20,NO,9784477,NO,NO,,,,,
Marshall Islands,11747,LAJABWIL,Marshall Islands,60022,V7A2098,NA,Jaluit Island,Pan Pacific Fishing(RMI) Inc.,"Delap Village
P.O. Box 1289 Majuro, Republic of the Marshall Islands",Yu Yuhong,China,NA,V7A2098,inmarsat F 870773121247,China,2018,Purse seiner,38,,66.57,Registered,Meters,7.7,Meters,13.6,Meters,"1,789.00",GRT,2648,KW,Brine,200,MT,5,1905,CuM,Registration Certificate - provisional,6-18-FV,WCPFC Commission Area,Tuna and Tuna like Species,06-May-19,30-Jun-20,NO,9784491,NO,NO,,,,,
Marshall Islands,11746,UNAAK,Marshall Islands,60021,V7A2097,NA,Jaluit Island,Pan Pacific Fishing(RMI) Inc.,"Delap Village
P.O. Box 1289 Majuro, Republic of the Marshall Islands 96960",Deng Zhaowang,China,NA,V7A2097,InmarsatF 870773121533,China,2018,Purse seiner,38,One boat operated purse seines,66.57,Registered,Meters,7.7,Meters,13.6,Meters,"1,789.00",GRT,2648,KW,Brine,200,MT,5,1905,CuM,Registration Certificate - provisional,5-18-FV,WCPFC Commission Area,Tuna and Tuna like Species,06-May-19,30-Jun-20,NO,9784489,NO,NO,,,,,
Chinese Taipei,3395,DONG SHENG JYI NO.16,Chinese Taipei,CT4-1945,BJ3945,NONE,Kaohsiung,"PAN, CHUNG-CHIU","No.46, Ren-ai Rd., Liouciou Township, Pingtung County 929, Taiwan","PAN, JIANN-PERNG",Chinese Taipei,NONE,BJ3945,"Channels: 009-8816-318-33291
Inmarsat C (424699229)

",Chinese Taipei,1989,Tuna longliner,12,Longlines (not specified),23.95,Overall,Meters,2.1,Meters,4.6,Meters,79.72,GT,939,HP,Blast;RSW,30,RT,2,87,CuM,YUAN YAN 108-,352,Pacific Ocean,Tuna and Tuna-like,17-Jan-19,16-Jan-24,NOT APPLICABLE,8549832,YES,NO,,,,,
Chinese Taipei,2792,WAG NO.3,Chinese Taipei,CT3-4918,BK6918,YU TSAIR; CHUN FA CAI NO.6,Hualien,"PAN, CONG MINÂ ","No.21, Tianzu, Changbin Township, Taitung County 96241, Taiwan","LIN, GUANG MING",Chinese Taipei,NONE,BK6918,NONE,Chinese Taipei,1987,Tuna longliner,9,Longlines (not specified),18.22,Overall,Meters,1.55,Meters,3.8,Meters,28.4,GT,300,HP,Ice,0,Na,0,10,CuM,NONG TE YU YAN 108-,2417,Pacific Ocean,Tuna and Tuna-like,11-Apr-19,10-Apr-24,NOT APPLICABLE,,NO,NO,,,,,
Chinese Taipei,2700,JINN HSING TSAI NO.3,Chinese Taipei,CT3-4725,BK6725,NONE,Kaohsiung,"PAN, SHOU-CHIN"," No.17, Lane 2, Sec. 1, Guangfu Rd., Donggang Township, Pingtung County 928, Taiwan(R.O.C.) ","PAN, SHOU-CHIN ",Chinese Taipei,NONE,BK6725,"Channels: 002-8816-31833539
Numbers: 886 8 8311574
Inmarsat C: 424698868",Chinese Taipei,1986,Tuna longliner,10,Longlines (not specified),20.8,Overall,Meters,1.7,Meters,4.1,Meters,46.37,GT,450,HP,Ice,0,HP,0,34,CuM,NONG TE YU YAN 106- ,2168,Pacific Ocean,Tuna and Tuna-like,11-Apr-17,10-Apr-22,NOT APPLICABLE,8341632,YES,YES: CCM-Flagged,Palau International Traders Inc.,Palau,"P.O.Box 5000, Koror, Palau 96940;terry_huang@ltfv.com(680.488.6072/680.776.4055)","Tuesday, January 1, 2019","Tuesday, December 31, 2019"
Chinese Taipei,4501,HONG RONG,Chinese Taipei,CT4-3011,BJ5011,NONE,Kaohsiung,"PAN, WEI-AN","7F., No.67, Yanhai Rd., Donggang Township, Pingtung County 92849, Taiwan (R.O.C.) ","CHERN, HUEI-LIANG",Chinese Taipei,NONE,BJ5011,"Channels: 8816-314-47808
",Chinese Taipei,2008,Tuna longliner,14,Longlines (not specified),23.9,Overall,Meters,1.9,Meters,5.46,Meters,95,GT,707,HP,RSW,40,RT,2,156,CuM,YUAN YAN 108-,1019,Pacific Ocean,Tuna and Tuna-like,11-Jun-19,30-Jan-24,NOT APPLICABLE,8787941,YES,YES: CCM-Flagged,National Fisheries Developments Limited,Solomon Islands,"P.O. BOX 717 Honiara, Solomon Islands","Friday, March 15, 2019","Tuesday, December 31, 2019"
Panama,10111,GENTA MARU,Panama,50329-19,H3EQ,NONE,Panama,PANAMA TRL S.A,"JUSTO AROSEMENA AVENUE, 32ND STREET, NO.3-32, PANAMA CITY, PANAMA",JANG BYUNG WHA,Korea (Republic of),LIBERIA,H3EQ,CLS,Japan,2011,FISH CARRIER,19,,91.16,Overall,Meters,9.9,Meters,16.8,Meters,"3,989.00",GRT,2998,KW,,"4,780.72",CBM,3 SETS,,CuM,,02-98-1393-203-649,PACIFIC OCEAN,,04-Apr-19,04-Apr-20,Not specified,9620384,YES,NO,,,,,
Panama,11834,SOUTA MARU,Panama,29190-03-CH,HO2419,ASTRAEA 102,Panama,PANAMA TRL S.A,"3-5-5, SHIBA, MINATO-KU, TOKYO JAPAN",MAKOTO NAKAMURA,Japan,NONE KNOWN,HO2419,"Inmarsat C
435123810
",Japan,2002,FISH CARRIER,30,,58,Overall,Meters,4.25,Meters,9.7,Meters,952,GRT,1044,KW,Air blast ,"40,795.14",CFT,6,1155,CuM,SUPPORT,02-98-1404-074-745,WCPO,TUNA AND TUNA LIKE,12-Jul-19,12-Jul-20,NOT APPLICABLE,9263021,YES,NO,,,,,
Liberia,9461,MEITA MARU,Liberia,26-16-NYC,D5JO8,NONE,Monrovia,PANAMA TRL S.A. (Foreign Maritime Entity),"8th Floor Shibakoen Building,
No. 5-5, Shiba 3-chome, Minato-ku,
Tokyo, Japan",Hideaki Hattori,Japan,VANUATU,D5JO8,"Sat C; VMS

",Japan,1993,FISH CARRIER,25,,106.86,Overall,Meters,9.45,Meters,15.7,Meters,"3,802.00",GT,2942,KW,Blast,0,n/a,8,158772,CuF,Transshipment,25-FTL-19,"IATTC, ICCAT, IOTC, NEAFC, SPRFMO, WCPFC","Tuna, Tuna-like",29-Sep-19,29-Sep-20,NO,9071583,YES,NO,,,,,
Panama,9455,KURIKOMA,Panama,23486-97-E,3FTS6,NONE,Panama,PANAMA TRL.S.A.,"3-5-5, SHIBA MINATO-KU, TOKYO, JAPAN
",HIDEAKI HATTORI,Japan,NONE,3FTS6,INMARSAT C 435318510,Japan,1996,FISH CARRIER,40,,105.53,Overall,Meters,9.5,Meters,16.2,Meters,"4,177.00",GRT,2950,KW,,,,,5215,CuM,SUPPORT FISHING VESSEL,02-98-1405-016-753,WCPFO,Tuna & Tuna like species,02-Sep-14,02-Sep-20,Not specified,9145920,YES,NO,,,,,
United States of America,4218,MISS RENEE,United States of America,611010,WDG3231,KATHERINE Y;MISS RENEE,Honolulu,PARADISE SPIRIT LLC,"1628 LEHIA ST., HONOLULU, HI 96813, USA","DO, PHON;SCHMIDT, MICHAEL",United States of America,NONE KNOWN,WDG3231,SATELLITE TELEPHONE (OTHER THAN INMARSAT): 870773200497,United States of America,1979,Tuna longliner,5,Drifting longlines,49.8,REGISTERED,Feet,8.7,Feet,18,Feet,60,GRT,350,HP,Ice,3,tons/day,1,11,MT,High seas fishing permit with a WCPFC area endorsement,P0000000027946,High Seas in the WCPF Convention Area,Highly Migratory Species,13-Jun-17,13-Jun-22,Not Applicable,,YES,NO,,,,,
United States of America,4200,CAPTAIN PAXTON,United States of America,912794,WDJ8561,SEA MOON,Honolulu,PAX FISHERY LLC,"1937 KILOLANI PL, HONOLULU, HI 96819-2671, USA","PHAM, BANG",United States of America,NONE KNOWN,WDJ8561,NONE,United States of America,1987,Tuna longliner,6,Drifting longlines,66,REGISTERED,Feet,8,Feet,20.5,Feet,72,GRT,350,HP,Ice,3,tons/day,1,16,MT,High seas fishing permit with a WCPFC area endorsement,P0000000048396,High Seas in the WCPF Convention Area,Highly Migratory Species,12-Jan-18,11-Jan-23,Not Applicable,,YES,NO,,,,,
United States of America,4131,KRAKEN,United States of America,991843,WDF7555,MOSHI II;CINDA S;KRAKEN,Newport,PELAGIC FISHERIES INC,"3764 S BAY RD, TOLEDO, OR 97391-9710, USA","FUNDERBURG, CLINT",United States of America,NONE KNOWN,WDF7555,SATELLITE TELEPHONE (OTHER THAN INMARSAT): M-SAT 1394: OTHER,United States of America,1993,Tuna longliner,6,"Drifting longlines, Handlines and pole-lines (hand operated), Trolling lines",63.4,REGISTERED,Feet,10,Feet,18.7,Feet,79,GRT,380,HP,Brine;Ice;Blast,20;3;5,tons;tons/day;tons,1;1;1,36,MT,High seas fishing permit with a WCPFC area endorsement,P0000000024723,High Seas in the WCPF Convention Area,Highly Migratory Species,13-May-16,30-Apr-21,Not Applicable,,YES,NO,,,,,
China,13,JING LU YUAN 002,China,ï¼ˆLU)CHUANDENG(JI)(2017)FT-200103,BZZS3,FULL WINNING NO.1,Longkou,Penglai Jinglu Fisheries Co.Ltd,"Xiesongying Village ,Liujiagou Town ,Penglai City",LU YUN JIANG,China,Seychelles,BZZS3,CLS TRITON ADV:518722,Chinese Taipei,2001,Tuna longliner,34,Longlines (not specified),50.8,Registered,Meters,3.95,Meters,9,Meters,698,GT,1176,KW,Blast,8,MT/DAY,4,631,CuM,Longline,GH-0224(2017)Guoyu(gong),Pacific Ocean,Tuna and tuna-like species,01-Apr-17,31-Mar-20,Not specified,8662660,YES,NO,,,,,
China,15,JING LU YUAN 004,China,(LU)CHUANDENG(JI)(2012)FT-200074,BZZS5,SHUN ZHAO,Yantai,Penglai Jinglu Fisheries Co.Ltd,"Xiesongying Village ,Liujiagou Town ,Penglai City",Ding Fengqing,China,Equatorial Guinea ,BZZS5,Inmarsat M:441218955,Japan,1984,Tuna longliner,30,,45.78,Registered,Meters,3.65,Meters,8.6,Meters,329,GT,809,KW,,,,,645,CuM,Longline,GH-0101-2010Guoyu(gong),Pacific,Tuna,01-Apr-10,30-Jun-14,Not specified,,YES,NO,,,,,
China,16,JING LU YUAN 005,China,(LU)CHUANDENG(JI)(2013)FT-200209,BZZS6,SHUN YONG,Yantai,Penglai Jinglu Fisheries Co.Ltd,"Xiesongying Village ,Liujiagou Town ,Penglai City",CHU MING HUI,China,Equatorial Guinea ,BZZS6,424400397,Japan,1984,Tuna longliner,30,,46.15,Registered,Meters,3.75,Meters,8.8,Meters,697,GT,1102,KW,,,,,645,CuM,LL,GH-0479-2014Guoyu(gong),Pacific,Tuna,01-Apr-14,31-Mar-17,Not specified,7903562,YES,NO,,,,,
